created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
2026-04-08 10:32:52.849,0.071052,,,0,0,7704,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,39912,39877,,critic-api
2026-04-08 10:32:44.124,0.073437,,,0,0,12475,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,44012,43983,,critic-api
2026-04-08 10:32:09.671,0.02778,,,0,0,4400,2228,1948,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,22812,4701,,critic-api
2026-04-08 10:31:18.470,0.070956,,,0,0,7513,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,44054,44041,,critic-api
2026-04-08 10:30:40.283,0.023646,,,0,0,4757,1770,1454,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,18694,4282,,critic-api
2026-04-08 10:29:46.351,0.073458,,,0,0,12516,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,45041,44990,,critic-api
2026-04-08 10:28:51.306,0.035366,,,0,0,4757,2942,2575,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,30909,5292,,critic-api
2026-04-08 10:28:27.779,0.071501,,,0,0,6028,1549,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,14028,13970,,critic-api
2026-04-08 10:28:02.556,0.022882,,,,0,4322,1748,1510,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,17242,6200,,critic-api
2026-04-08 10:27:35.123,0.070741,,,0,0,4443,1560,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,18755,18632,,critic-api
2026-04-08 10:27:04.392,0.026712,,,,0,4322,2131,1823,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,23306,6711,,critic-api
2026-04-08 10:26:10.969,0.072229,,,0,0,10058,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,43866,43781,,critic-api
2026-04-08 10:23:39.816,0.008223,,,,0,2507,509,493,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,8878,8837,,critic-api
